date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:40	92192/92192	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2006:05:43%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html	(from )
16:23:41	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%2257d5379b-41%22	http://sitetemplate.demo.ithemeslab.com/robots.txt		(from )
16:23:42	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225ab5eac9-47e%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/favicon.ico	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/favicon.ico	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:42	2055/2055	---M--	200	added ('OK')	image/png	etag:%225ab5eac8-807%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-57x57.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-57x57.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:43	7695/7695	---M--	200	added ('OK')	image/png	etag:%225ab5eac8-1e0f%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-72x72.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-72x72.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:43	4571/4571	---M--	200	added ('OK')	image/png	etag:%225ab5eac7-11db%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-114x114.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-114x114.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:44	18897/18897	---M--	200	added ('OK')	image/png	etag:%225ab5eac7-49d1%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-144x144.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/favicon/apple-icon-144x144.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:45	144877/144877	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:22%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/bootstrap.min.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/bootstrap.min.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:45	38581/38581	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:23%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:45	1259/1259	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:23%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:46	2936/2936	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:25%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.carousel.min.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.carousel.min.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:46	936/936	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:26%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.theme.default.min.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.theme.default.min.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:46	57095/57095	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:22%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/animate.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/animate.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:47	3800/3800	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:06:25%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/lightbox.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/lightbox.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
16:23:47	13122/13122	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Mar%202018%2006:05:54%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/responsive.css	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/responsive.css	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/home-2.html)
